id_registro,episodio,fecha,año,mes,mes_num,dia,indicativo,nombre,provincia,altitud,tmed,prec,tmin,tmax,velmedia,racha,llamadas_112
1,Filomena,2021-01-07,2021,Enero,1,7,3195,"MADRID, RETIRO",Madrid,667,0.4,2.3,-0.6,1.4,,,0
2,Filomena,2021-01-07,2021,Enero,1,7,3260B,TOLEDO,Toledo,513,0.8,9.2,-0.7,2.3,2.8,7.2,0
3,Filomena,2021-01-08,2021,Enero,1,8,3195,"MADRID, RETIRO",Madrid,667,-0.4,32.9,-1.0,0.3,,,12500
4,Filomena,2021-01-08,2021,Enero,1,8,3260B,TOLEDO,Toledo,513,0.0,36.6,-1.1,1.0,4.4,10.6,2800
5,Filomena,2021-01-09,2021,Enero,1,9,3195,"MADRID, RETIRO",Madrid,667,-0.6,17.7,-1.6,0.5,,,21500
6,Filomena,2021-01-09,2021,Enero,1,9,3260B,TOLEDO,Toledo,513,-0.3,9.0,-2.4,1.8,2.5,10.3,5400
7,Filomena,2021-01-10,2021,Enero,1,10,3195,"MADRID, RETIRO",Madrid,667,1.2,0.0,-0.8,3.2,,,18000
8,Filomena,2021-01-10,2021,Enero,1,10,3260B,TOLEDO,Toledo,513,0.1,,-4.1,4.3,0.8,2.8,3100
9,Filomena,2021-01-11,2021,Enero,1,11,3195,"MADRID, RETIRO",Madrid,667,-0.6,0.0,-4.4,3.2,,,0
10,Filomena,2021-01-11,2021,Enero,1,11,3260B,TOLEDO,Toledo,513,-1.4,,-8.0,5.2,0.3,2.5,0
11,Filomena,2021-01-12,2021,Enero,1,12,3195,"MADRID, RETIRO",Madrid,667,-3.4,0.0,-7.4,0.7,,,0
12,Filomena,2021-01-12,2021,Enero,1,12,3260B,TOLEDO,Toledo,513,-6.2,,-13.4,0.9,1.1,3.6,0
13,DANA,2024-10-28,2024,Octubre,10,28,8414A,VALENCIA AEROPUERTO,Valencia,56,17.0,8.0,12.0,22.0,3.6,9.7,0
14,DANA,2024-10-28,2024,Octubre,10,28,8096,CUENCA,Cuenca,949,13.6,0.4,7.7,19.5,2.2,9.2,0
15,DANA,2024-10-29,2024,Octubre,10,29,8414A,VALENCIA AEROPUERTO,Valencia,56,19.6,6.6,18.1,21.2,9.7,22.2,19821
16,DANA,2024-10-29,2024,Octubre,10,29,8096,CUENCA,Cuenca,949,12.6,52.2,9.9,15.3,4.2,15.3,4500
17,DANA,2024-10-30,2024,Octubre,10,30,8414A,VALENCIA AEROPUERTO,Valencia,56,20.6,0.0,17.4,23.7,3.3,17.5,12000
18,DANA,2024-10-30,2024,Octubre,10,30,8096,CUENCA,Cuenca,949,14.6,0.0,9.8,19.5,3.1,11.4,1200
19,DANA,2024-10-31,2024,Octubre,10,31,8414A,VALENCIA AEROPUERTO,Valencia,56,19.9,0.0,16.1,23.7,3.6,8.9,0
20,DANA,2024-10-31,2024,Octubre,10,31,8096,CUENCA,Cuenca,949,14.9,0.0,10.0,19.8,1.9,8.6,0
